NUMBER,ASCII,LENGTH,ROTR,ROTL,GNU
0,0,0,11928,11682,12054,
1505688,0,0,11952,12066,12180,
0,0,0,11766,11976,11760,
0,0,0,11682,12072,11856,
0,0,12,12342,12300,11874,
0,0,24,11640,11988,11658,
0,0,42,11844,11718,11766,
0,0,72,11934,11946,11706,
0,0,192,11700,12294,11928,
0,0,588,11838,12168,11916,
0,0,1230,12462,12054,11724,
0,0,2604,11892,12426,12012,
0,0,4212,11844,11874,12000,
0,0,7044,11622,11598,11640,
0,0,10332,12096,12048,11946,
0,0,14916,11520,11928,12006,
0,0,19590,11286,11700,11946,
0,0,26406,12030,11754,11988,
0,0,33144,12018,11904,12036,
0,0,41034,11790,11730,12468,
0,0,45996,11820,11784,12360,
0,0,51642,12288,11808,11772,
0,0,54282,12414,11940,11448,
0,0,53202,12024,12114,11868,
0,0,56112,12084,12234,12006,
0,0,58842,11766,11862,11862,
0,0,60762,12000,12084,12204,
0,0,62094,11346,11928,11868,
0,0,62682,11874,11934,11550,
0,0,63576,12366,11784,12078,
0,0,60240,12054,11562,11826,
0,0,60480,11688,11760,11868,
0,0,58488,11220,12048,11652,
0,0,54810,11988,11622,12594,
0,0,50880,11412,11952,11928,
0,0,45090,11766,11772,12210,
0,0,43296,11610,11778,11910,
0,0,38700,12204,11730,11952,
0,0,35850,12282,12138,11910,
0,0,32598,11532,11850,11754,
0,0,29652,11148,11502,11922,
0,0,27378,11976,11820,11664,
0,0,25386,12426,12006,11694,
0,0,21942,11694,12216,11646,
0,0,19560,11988,11610,11412,
0,0,17922,12246,11694,12024,
0,0,16380,12072,11808,11940,
0,0,15552,11268,11964,11820,
0,0,13074,11772,11808,11592,
0,18,11790,11802,11682,11982,
0,6,9930,11856,11640,11268,
0,12,9204,11994,11760,11814,
0,6,8280,12096,11766,11724,
0,6,7230,11874,11886,12090,
0,0,6150,11832,11982,11970,
0,0,5508,11664,12042,11706,
0,6,5046,12108,11616,11508,
0,0,4566,12186,11502,11538,
0,0,4080,11520,12012,11850,
0,0,3612,11646,12036,12090,
0,0,3186,11676,12174,12228,
0,0,2706,11940,11454,11328,
0,0,2412,11796,11772,11358,
0,0,2214,12234,11460,11958,
0,0,2160,12060,11550,11424,
0,29892,1860,11700,11496,11514,
0,6390,1716,12186,11994,11946,
0,19656,1410,11808,11256,11592,
0,62982,1254,11652,11616,12006,
0,11064,1098,11754,11394,11952,
0,4134,948,11574,11910,11970,
0,7044,930,11586,11928,12108,
0,90174,894,12378,12090,12192,
0,452748,852,11406,11580,11754,
0,2904,768,11364,11940,12018,
0,1446,696,11616,11928,11712,
0,17172,762,12126,12276,12384,
0,30702,576,11322,11712,11934,
0,13710,582,12108,11676,12024,
0,5868,414,11358,12006,11850,
0,14856,498,11766,12252,11598,
0,216,408,12030,12042,11682,
0,2322,324,11946,11778,11490,
0,43044,366,11604,11796,11874,
0,476826,312,11664,11970,11928,
0,834,294,12144,12126,12114,
0,324,252,11610,11880,11562,
0,152952,306,11784,12174,12282,
0,6,282,11820,12072,11724,
0,58308,204,11658,11550,11808,
0,54,198,11910,11868,11802,
0,0,180,12414,11568,11526,
0,0,144,11796,12060,11694,
0,0,204,11832,12096,11742,
0,0,138,11892,11556,11856,
0,0,192,12582,11718,12450,
0,0,132,11904,12072,11838,
0,0,120,11784,11862,12282,
0,0,114,11760,11400,11628,
0,0,96,12336,12276,11544,
0,0,90,11898,11670,11604,
0,0,90,12138,11742,11706,
0,0,0,12000,12144,10938,
0,0,0,11514,11940,11598,
0,0,0,11994,11790,11850,
0,6,0,11592,11592,11502,
0,0,0,11994,11862,12132,
0,0,0,11658,11490,12090,
0,0,0,11886,11808,12324,
0,0,0,11430,11454,11784,
0,0,0,11898,12276,12282,
0,0,0,11598,11568,12174,
0,0,0,12114,11526,11988,
0,0,0,11790,12132,11898,
0,0,0,12126,12006,11706,
0,0,0,11970,11748,12048,
0,0,0,11796,11676,11682,
0,0,0,11862,11946,11754,
0,0,0,12090,11718,11772,
0,0,0,11796,11952,11454,
0,0,0,12594,11886,11592,
0,0,0,11982,11670,11778,
0,0,0,11484,11832,11976,
0,0,0,11286,12282,12246,
0,0,0,11670,12150,12294,
0,0,0,11670,11688,11610,
0,0,0,11886,11550,11892,
